"Date","Title","Artist","Peak_Position","Broad_Genre","Energy","Tempo","Danceability","Year","Rank","Valence","Rank_Group"
"8/5/17","Rollin","calvin harris",62,"EDM","0.762","92.002","0.754",2017,97,"0.673","51-75"
"8/5/17","4:44","jay-z",35,"Rap","0.207","59.077","0.694",2017,61,"0.652","26-50"
"8/5/17","A Lie","french montana",75,"Rap","0.792","121.189","0.516",2017,75,"0.524","51-75"
"8/5/17","Woman","kesha",96,"Rap","0.765","114.991","0.743",2017,96,"0.338","76-100"
"8/26/17","Issues","julia michaels",11,"Pop","0.42","113.975","0.725",2017,44,"0.424","11 - 25"
"8/26/17","What's My Name","china anne mcclain, thomas doherty",61,"Pop","0.933","114.031","0.725",2017,85,"0.601","51-75"
"8/26/17","You Da Baddest","future",38,"Rap","0.736","154.023","0.807",2017,87,"0.54","26-50"
"8/26/17","OMG","camila cabello",81,"Pop","0.576","139.953","0.655",2017,81,"0.167","76-100"
"8/26/17","Chillin' Like A Villain","sofia carson, cameron boyce, booboo stewart",95,"Pop","0.776","113.92","0.676",2017,95,"0.792","76-100"
"8/19/17","Rolex","ayo",20,"Rap","0.886","144.946","0.804",2017,49,"0.789","11 - 25"
"8/19/17","Passionfruit","drake",8,"Rap","0.459","111.963","0.804",2017,81,"0.372","1 - 10"
"8/19/17","Swalla","jason derulo",29,"Rap","0.817","98.064","0.696",2017,82,"0.782","26-50"
"8/19/17","God, Your Mama, And Me","florida georgia line",46,"Country","0.802","168.032","0.439",2017,95,"0.725","26-50"
"8/19/17","Heavy","linkin park",45,"Rap","0.671","149.982","0.59",2017,96,"0.438","26-50"
"8/19/17","Subeme La Radio","enrique iglesias",81,"Pop","0.823","91.048","0.684",2017,91,"0.647","76-100"
"8/19/17","Signs","drake",36,"Rap","0.734","107.369","0.79",2017,100,"0.223","26-50"
"8/19/17","Learn To Let Go","kesha",97,"Rap","0.847","168.104","0.515",2017,97,"0.645","76-100"
"8/12/17","Closer","the chainsmokers",1,"EDM","0.524","95.01","0.748",2017,39,"0.661","1 - 10"
"8/12/17","In The End","linkin park",2,"Rock","0.853","105.256","0.542",2017,37,"0.37","1 - 10"
"8/12/17","Numb","linkin park",11,"Rock","0.863","110.018","0.496",2017,34,"0.243","11 - 25"
"8/12/17","The Fighter","keith urban",38,"Country","0.845","132.023","0.681",2017,47,"0.761","26-50"
"8/12/17","Yours If You Want It","rascal flatts",71,"Country","0.909","113.067","0.548",2017,87,"0.413","51-75"
"8/12/17","The Story Of O.J.","jay-z",23,"Rap","0.369","131.874","0.708",2017,95,"0.833","11 - 25"
"8/12/17","Wins & Losses","meek mill",79,"Rap","0.57","164.155","0.519",2017,79,"0.317","76-100"
"8/12/17","1942 Flows","meek mill",83,"Rap","0.628","121.307","0.63",2017,83,"0.266","76-100"
"8/12/17","Imitadora","romeo santos",91,"Pop","0.709","125.997","0.737",2017,91,"0.556","76-100"
"8/12/17","We Ball","meek mill",96,"Rap","0.728","152.088","0.624",2017,96,"0.599","76-100"
"8/12/17","F**k That Check Up","meek mill",97,"Rap","0.715","148.971","0.861",2017,97,"0.535","76-100"
"8/12/17","Heavy Heart","meek mill",99,"Rap","0.695","73.031","0.472",2017,99,"0.351","76-100"
"7/8/17","Scars To Your Beautiful","alessia cara",8,"Pop","0.741","97.048","0.591",2017,45,"0.452","1 - 10"
"7/8/17","My Old Man","zac brown band",68,"Country","0.196","143.919","0.64",2017,88,"0.301","51-75"
"7/8/17","Nobody Else But You","trey songz",92,"R&B","0.612","139.913","0.708",2017,97,"0.263","76-100"
"7/8/17","Real Hitta","plies",100,"R&B","0.531","144.367","0.559",2017,100,"0.333","76-100"
"7/29/17","Hurricane","luke combs",31,"Country","0.813","75.975","0.464",2017,50,"0.516","26-50"
"7/29/17","Slide","calvin harris",25,"EDM","0.795","104.066","0.736",2017,45,"0.511","11 - 25"
"7/29/17","Bam","jay-z",47,"Rap","unknown","unknown","unknown",2017,47,"unknown","26-50"
"7/29/17","Family Feud","jay-z",51,"Rap","unknown","unknown","unknown",2017,51,"unknown","51-75"
"7/29/17","Kill Jay Z","jay-z",55,"Rap","0.789","133.815","0.611",2017,55,"0.148","51-75"
"7/29/17","Smile","jay-z",56,"Rap","unknown","unknown","unknown",2017,56,"unknown","51-75"
"7/29/17","Caught Their Eyes","jay-z",63,"Rap","unknown","unknown","unknown",2017,63,"unknown","51-75"
"7/29/17","Moonlight","jay-z",86,"Rap","unknown","unknown","unknown",2017,86,"unknown","76-100"
"7/29/17","Marcy Me","jay-z",90,"Rap","unknown","unknown","unknown",2017,90,"unknown","76-100"
"7/29/17","Get Low","zedd",91,"EDM","0.924","107.968","0.714",2017,91,"0.505","76-100"
"7/29/17","Famous","21 savage",94,"Rap","0.597","173.986","0.779",2017,94,"0.646","76-100"
"7/22/17","Goosebumps","travis scott",32,"Rap","0.728","130.049","0.841",2017,47,"0.43","26-50"
"7/22/17","T-Shirt","migos",19,"Rap","0.687","139.023","0.865",2017,48,"0.486","11 - 25"
"7/22/17","Tunnel Vision","kodak black",6,"Rap","0.489","171.853","0.497",2017,55,"0.231","1 - 10"
"7/22/17","Losin Control","russ",62,"Rap","0.245","96.992","0.759",2017,95,"0.209","51-75"
"7/22/17","Portland","drake",9,"Rap","0.444","136.088","0.924",2017,90,"0.314","1 - 10"
"7/22/17","How Not To","dan + shay",57,"Country","0.836","159.863","0.501",2017,100,"0.618","51-75"
"7/22/17","Sign Of The Times","harry styles",4,"Pop","0.595","119.972","0.516",2017,73,"0.222","1 - 10"
"7/22/17","Who Dat Boy","tyler, the creator",87,"Rap","0.485","115.414","0.706",2017,87,"0.144","76-100"
"7/22/17","Extra Luv","future",99,"Rap","0.573","100.015","0.831",2017,99,"0.229","76-100"
"7/15/17","Cold","maroon 5",16,"Pop","0.718","99.915","0.699",2017,91,"0.52","11 - 25"
"7/15/17","Good Drank","2 chainz",70,"Rap","0.779","130.002","0.834",2017,97,"0.391","51-75"
"7/15/17","Shining","dj khaled",57,"Rap","0.807","112.001","0.768",2017,98,"0.575","51-75"
"7/15/17","If I Told You","darius rucker",53,"Country","0.64","84.029","0.532",2017,83,"0.308","51-75"
"7/15/17","To The Max","dj khaled",53,"Rap","0.812","159.869","0.461",2017,73,"0.72","51-75"
"7/15/17","Don't Quit","dj khaled",68,"Rap","0.827","100.011","0.652",2017,68,"0.659","51-75"
"7/15/17","On Everything","dj khaled",88,"Rap","0.755","168.22","0.542",2017,88,"0.267","76-100"
"7/1/17","Swang","rae sremmurd",26,"Rap","0.317","140.009","0.678",2017,50,"0.16","26-50"
"7/1/17","Black","dierks bentley",56,"Country","0.656","120.037","0.663",2017,86,"0.56","51-75"
"7/1/17","Hometown Girl","josh turner",56,"Country","0.79","155.934","0.505",2017,96,"0.445","51-75"
"7/1/17","Gyalchester","drake",29,"Rap","0.389","131.012","0.872",2017,98,"0.156","26-50"
"7/1/17","Bon Appetit","katy perry",59,"Pop","0.791","106.044","0.803",2017,85,"0.564","51-75"
"6/3/17","Love On The Brain","rihanna",5,"R&B","0.641","171.957","0.506",2017,43,"0.393","1 - 10"
"6/3/17","Bounce Back","big sean",6,"Rap","0.567","81.477","0.77",2017,50,"0.26","1 - 10"
"6/3/17","I Feel It Coming","the weeknd",4,"R&B","0.819","92.99","0.767",2017,46,"0.583","1 - 10"
"6/3/17","I Don't Wanna Live Forever (Fifty Shades Darker)","zayn",2,"Pop","0.452","117.962","0.737",2017,48,"0.096","1 - 10"
"6/3/17","Both","gucci mane",41,"Rap","0.405","139.976","0.85",2017,44,"0.344","26-50"
"6/3/17","The Weekend","brantley gilbert",64,"Country","0.809","82.022","0.53",2017,69,"0.731","51-75"
"6/3/17","Yeah Boy","kelsea ballerini",65,"Country","0.809","88.965","0.589",2017,84,"0.496","51-75"
